project,smellname,percentage
VolcanicArts@VRCOSC,AssertionRoulette,-0.001
Vova-SH@AirAttack,AssertionRoulette,-0.001
VPRL@Virginia-Philosophy-Reality-Lab,AssertionRoulette,-0.001
VRatPolito@LET-VR,AssertionRoulette,-0.001
VRCBilliards@vrcbce,AssertionRoulette,-0.001
VRcolVento@ChatVRoom,AssertionRoulette,-0.001
VRTRIX@VRTRIXGlove_Unity3D_SDK,AssertionRoulette,-0.001
VRUX-CO@VRDesignLab,AssertionRoulette,-0.001
WebGLHitASnag@VR-Project-2,AssertionRoulette,-0.001
Wellwick@IVVR,AssertionRoulette,-0.001
WetzoldStudios@traVRsal-sdk,AssertionRoulette,100.0
Xenocide93@MultiplayerFPSCardboardGame,AssertionRoulette,-0.001
XRTK@com.xrtk.core,AssertionRoulette,73.97260273972603
XxGodmoonxX@AR-AwaParty,AssertionRoulette,-0.001
XxGodmoonxX@Augmented-Nightclub-Experience,AssertionRoulette,-0.001
yanorei32@VRChatRejoinTool,AssertionRoulette,-0.001
yutakasi634@Coral-iMD-VR,AssertionRoulette,-0.001
